Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Lasioglossum;Hemihalictus;lucidulum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;medinai;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;minutissimum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;pseudoplanulum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;punctatissimum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;sphecodimorphum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;strictifrons;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;transitorium planulum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;truncaticolle;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;villosulum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Lasioglossum;sexnotatum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Leuchalictus;albocinctum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Leuchalictus;discus discus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;NA;NA;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
