Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries
Lithurgus;NA;chrysurus ;Pozo de Juan López;Vélez Blanco;Almería;España;20;07;2009;;1180;30SWG6988;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Lithurgus;NA;chrysurus ;Pozo de Juan López;Vélez Blanco;Almería;España;21;07;2009;;1180;30SWG6989;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;19;07;2009;;1180;30SWG6987;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;20;07;2009;;1180;30SWG6988;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;21;07;2009;;1180;30SWG6989;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;19;07;2009;;1180;30SWG6987;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;20;07;2009;;1180;30SWG6988;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;21;07;2009;;1180;30SWG6989;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;19;07;2009;;1180;30SWG6987;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;20;07;2009;;1180;30SWG6988;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Pozo de Juan López;Vélez Blanco;Almería;España;21;07;2009;;1180;30SWG6989;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;"chrysurus ""chico""";Ermita 06rgen Cabeza;María;Almería;España;20;07;2009;;1375;30SWG7272;J. Ortiz;J. Ortiz;NA;1; ;Almería/ UCME;NA
Trachusa;Paranthidium;laticeps;Bolonia;NA;Cádiz;España;28;04;2009;;39;30STE4998;E Manzano;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Chalicodoma;Chalicodoma;baetica;La Piqueta (Sª Bermeja);Estepona;Málaga;España;25;04;2009;;210;30SUF0739;J. Quiñones;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Chalicodoma ;Chalicodoma;parietina;Los Prados de Lopera;Otivar;Granada;España;12;5;2009;;NA;NA;J. Ortiz;J. Ortiz;2009; ;1;Almería/ UCME;NA
Apis;Apis;mellifera;Andújar;Andújar;Jaén;España;20;3;2009;;NA;NA;A  Vázquez;C. Ornosa;2009;NA; obrera;UCME.;NA
