",""id"",""genus"",""species"",""num_individuals"",""sex"",""m_IT"",""day"",""month"",""year"",""collector"",""taxonomist"",""Lat2"",""Long2"""
"530,1266,""Andrena"",""thoracica"",1,""male"",2.8,29,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"531,NA,""Andrena"",""senecionis"",1,""female"",3,14,6,1985,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"532,354,""Panurgus"",""perezi"",1,""female"",1.8,4,7,1984,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"533,2086,""Anthophora"",""senescens"",1,""male"",NA,NA,5,1976,""E. Asensio"",""Lieftinck"",41.698036,-4.708621"
"534,597,""Andrena"",""carbonaria"",2,""female"",NA,11,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"535,5213,""Sphecodes"",""marginatus"",1,""male"",0.6,12,7,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"536,1524,""Eucera"",""pulveracea"",2,""female"",4,11,7,1983,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"537,2739,""Lasioglossum"",""malachurum"",2,""female"",NA,8,3,1977,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
"538,5264,""Sphecodes"",""ruficrus"",1,""female"",2.6,29,5,1978,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"539,1896,""Anthophora"",""atroalba"",2,""male"",NA,NA,5,1976,""E. Asensio"",""Lieftinck"",41.698036,-4.708621"
"540,1473,""Eucera"",""nigrilabris"",3,""male"",4.5,8,4,1982,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
