nNoCatalogo;bTipo;nNoCatTipos;tCategoTipo;nEjemplares;Superfamilia;Familia;Subfamilia;tGenero;tSubgenero;tEspecie;Infra;tAutor;tNotas;tNotasTaxonomicas;LocalidadOrig;tLocalidad;tMunicipio;Provincia;Comunidad;Pais;tFechaCaptura;nDia;nMes;nAnio;nDia2;nMes2;nAnio2;tColector;tNotasCaptura;tAltitud;tUTM;tSexo;tProcedencia;tAutorDeterminacion;nAnioDeterminacion;tEtiquetaEn;NotasFechas
313792;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313793;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra Ortiz det. 2000// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;El Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;15-6-43;15;6;1943;;;;J. Dusmet;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313794;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra Ortiz det. 2000// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;El Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;15-6-43;15;6;1943;;;;J. Dusmet;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313795;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra Ortiz det. 2000// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;El Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;15-6-43;15;6;1943;;;;J. Dusmet;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313796;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra Ortiz det. 2000// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;El Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;15-6-43;15;6;1943;;;;J. Dusmet;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313797;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra Ortiz det. 2000// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;El Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;15-6-43;15;6;1943;;;;J. Dusmet;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313798;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho Ortiz det. 2000// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;El Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;15-6-43;15;6;1943;;;;J. Dusmet;;;;macho;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313799;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho det. Noskiewicz// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;26-VI-904;26;6;1904;;;;Mercet;;;;macho;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313800;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;26-VI-904;26;6;1904;;;;Mercet;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313801;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei hembra// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;sin datos;;;1901;;;1924;Mercet;;;;hembra;Colección Gª Mercet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;1901-1924
