Genus,Subgenus,Species,Subspecies,name,Country,Province,Locality,Locality,Latitude,Longitude,Year,Month,Day,Date,Collector,Determiner,Sex
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,6,4,4/6/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Monti-Sion,Porreres,394.989,301.911,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,5,14,14/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
