;ID;site;ITD;Genus;Species;Sex;plant_genus;plant_species;Determined.by;Day;Month;Year
504;504;FRA2OP;NA;NA;NA;unknown;Convolvulus;sp;I. Bartomeus;14;6;2005
505;505;MED2CA;NA;NA;NA;unknown;Cistus;salvifolius;I. Bartomeus;11;5;2005
506;506;MED1CA;NA;NA;NA;unknown;Cistus;salvifolius;I. Bartomeus;26;4;2005
507;507;MED2CA;NA;NA;NA;unknown;Carpobrotus;edulis;I. Bartomeus;26;4;2005
508;508;MED2CA;NA;NA;NA;unknown;Carpobrotus;edulis;I. Bartomeus;26;4;2005
509;509;MED2CA;NA;NA;NA;unknown;Galactites;tomentosa;I. Bartomeus;11;5;2005
510;510;MED2CA;NA;NA;NA;unknown;Galactites;tomentosa;I. Bartomeus;11;5;2005
511;511;MED2CA;NA;NA;NA;unknown;Galactites;tomentosa;I. Bartomeus;11;5;2005
512;512;MED2CA;NA;NA;NA;unknown;Carpobrotus;edulis;I. Bartomeus;28;5;2005
513;513;BAT2CA;NA;NA;NA;unknown;Daucus;sp;I. Bartomeus;23;6;2004
514;514;SEL1OP;NA;NA;NA;unknown;Sedum;sp;I. Bartomeus;23;6;2004
515;515;SEL2OP;NA;NA;NA;unknown;Opuntia;sp;I. Bartomeus;2;6;2004
516;516;SEL2OP;NA;NA;NA;unknown;Opuntia;sp;I. Bartomeus;21;6;2004
517;517;SEL2OP;NA;NA;NA;unknown;Opuntia;sp;I. Bartomeus;21;6;2004
518;518;SEL2OP;NA;NA;NA;unknown;Eryngium;sp;I. Bartomeus;21;6;2004
519;519;SEL2OP;NA;NA;NA;unknown;Eryngium;sp;I. Bartomeus;21;6;2004
520;520;SEL2OP;NA;NA;NA;unknown;Dianthus;caryophyllus;I. Bartomeus;21;6;2004
521;521;SEL2OP;NA;NA;NA;unknown;Dianthus;caryophyllus;I. Bartomeus;21;6;2004
522;522;SEL2OP;NA;NA;NA;unknown;Dianthus;caryophyllus;I. Bartomeus;21;6;2004
523;523;SEL2OP;NA;NA;NA;unknown;Dianthus;caryophyllus;I. Bartomeus;21;6;2004
524;524;SEL1OP;NA;NA;NA;unknown;Sedum;sp;I. Bartomeus;23;6;2004
525;525;MED2CA;NA;NA;NA;unknown;Helianthemum;sp;I. Bartomeus;18;5;2004
526;526;FRA1OP;NA;NA;NA;unknown;Dianthus;sp;I. Bartomeus;22;6;2004
527;527;Cap de Vol;NA;NA;NA;unknown;Erica1;NA;I. Bartomeus;16;3;2004
528;528;SEL2OP;NA;NA;NA;unknown;Umbelifera;NA;I. Bartomeus;21;6;2004
529;529;BAT2CA;NA;NA;NA;unknown;Carpobrotus;edulis;I. Bartomeus;28;4;2005
530;530;SEL2OP;NA;NA;NA;unknown;Eryngium;sp;I. Bartomeus;21;6;2004
531;531;SEL2OP;NA;NA;NA;unknown;Umbelifera;sp;I. Bartomeus;21;6;2004
532;532;SEL2OP;NA;NA;NA;unknown;Umbelifera;sp;I. Bartomeus;21;6;2004
533;533;SEL2OP;NA;NA;NA;unknown;Umbelifera;sp;I. Bartomeus;21;6;2004
534;534;SEL2OP;NA;NA;NA;unknown;Allium;sp;I. Bartomeus;21;6;2004
535;535;SEL2OP;NA;NA;NA;unknown;Umbelifera;NA;I. Bartomeus;21;6;2004
536;536;MED2CA;NA;NA;NA;unknown;Compuesta roseta 2;NA;I. Bartomeus;18;5;2004
537;537;BAT2CA;NA;NA;NA;unknown;Alysum;sp;I. Bartomeus;27;4;2004
538;538;MIQ2OP;NA;NA;NA;unknown;Daucus;sp;I. Bartomeus;29;6;2004
539;539;MIQ2OP;NA;Hylaeus;sp;unknown;Daucus;carota;C.Molina;22;6;2005
