"","flag","Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid","Original_name","rm","Genus_species","accepted_name"
"53","Amegilla talaris","Amegilla",NA,"talaris","talaris","Spain","Girona","L'Estarti","42.05514","3.20036",NA,"1963","6","9",NA,NA,"Online_Baker, Donald",NA,"0","0","0","1",NA,NA,NA,NA,NA,NA,"i1_Gbif_6000","Amegilla talaris",NA,"Amegilla talaris","Amegilla albigena"
"54","Amegilla talaris","Amegilla",NA,"talaris","talaris","Spain","Girona","L'Estarti","42.05514","3.20036",NA,"1963","6","11",NA,NA,"Online_Baker, Donald",NA,"0","0","0","1",NA,NA,NA,NA,NA,NA,"i1_Gbif_6001","Amegilla talaris",NA,"Amegilla talaris","Amegilla albigena"
"55","Amegilla talaris","Amegilla",NA,"talaris","talaris","Spain","Girona","L'Estarti","42.05514","3.20036",NA,"1963","6","11",NA,NA,"Online_Baker, Donald",NA,"0","0","0","1",NA,NA,NA,NA,NA,NA,"i1_Gbif_5997","Amegilla talaris",NA,"Amegilla talaris","Amegilla albigena"
"56","Ammobates major","Ammobates",NA,"major",NA,"Portugal",NA,"Setuba","38.53333","-8.9",NA,NA,NA,NA,NA,NA,"Online_Unknown","Online_Baker, Donald","1","0","0","0",NA,NA,NA,NA,NA,NA,"i1_Gbif_10402","Ammobates major",NA,"Ammobates major","Ammobates muticus"
"57","Ammophila heydeni","Ammophila",NA,"heydeni",NA,"Spain","Valladolid","Vilalba de los Alcores","41.863753","-4.859276",">10km","2016","7","12",NA,NA,"G. Aguado","L.O. A.M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"82_Aguado_asensio712","Ammophila heydeni","Remove","Ammophila heydeni","Ammophila heydeni"
"58","Ammophila heydeni","Ammophila",NA,"heydeni",NA,"Spain","Valladolid","San Bernardo","41.630245","-4.26379","<100m","2016","7","17",NA,NA,"G. Aguado","L.O. A.M","1",NA,NA,NA,NA,"Eryngium campestre",NA,NA,NA,NA,"82_Aguado_asensio711","Ammophila heydeni","Remove","Ammophila heydeni","Ammophila heydeni"
"59","Ammophila sabilosa","Ammophila",NA,"sabilosa",NA,"Spain","Teruel","cantavieja",NA,NA,NA,"2021","8","17",NA,NA,"Oscar Aguado","Oscar Aguado",NA,NA,NA,"1",NA,"Eryngium campestre",NA,"Eva Nuñez","temperature: 31",NA,"67_life_polinizadores245","Ammophila sabilosa","Remove","Ammophila sabilosa","Ammophila sabilosa"
"60","Ancistrocerus oviventris","Ancistrocerus",NA,"oviventris",NA,"Spain",NA,NA,NA,NA,NA,"2005","5","23",NA,NA,NA,"L. Castro","1","0","0",NA,"https://doi.org/10.1007/s00442-007-0946-1","Cistus monspeliensis","311","I. Bartomeus",NA,NA,"15_Bartomeus_etal_1","Ancistrocerus oviventris","Remove","Ancistrocerus oviventris","Ancistrocerus oviventris"
"61","Andrena (Chlorandrena) cf. humilis","Andrena (Chlorandrena)",NA,"cf. humilis",NA,"Spain","Zaragoza","ejea caballeros",NA,NA,NA,"2021","6","8",NA,NA,"Oscar Aguado","Oscar Aguado",NA,NA,NA,"1",NA,"Taraxacum officinale",NA,"Eva Nuñez","temperature: 27",NA,"67_life_polinizadores74","Andrena (Chlorandrena) cf. humilis","Remove","Andrena (Chlorandrena) cf. humilis","Andrena (Chlorandrena) cf. humilis"
"62","Andrena (Chlorandrena) cf. humilis","Andrena (Chlorandrena)",NA,"cf. humilis",NA,"Spain","Zaragoza","ejea caballeros",NA,NA,NA,"2021","6","8",NA,NA,"Oscar Aguado","Oscar Aguado",NA,NA,NA,"1",NA,"Taraxacum officinale",NA,"Eva Nuñez","temperature: 23",NA,"67_life_polinizadores63","Andrena (Chlorandrena) cf. humilis","Remove","Andrena (Chlorandrena) cf. humilis","Andrena (Chlorandrena) cf. humilis"
"63","Andrena aegyptiaca","Andrena",NA,"aegyptiaca","cannabina","Spain","Islas Canarias","Fuerteventura, las Dunas","28.7049","-13.8437","uncert. < than 10km","1990","3","3","03/03/1990","20/03/1990","A. C., W. N. Ellis","T. Wood",NA,"1",NA,NA,NA,NA,"ZMA.INS.5088343","Compiled by T. Wood",NA,NA,"54_Wood_etal_19111","Andrena aegyptiaca","Remove","Andrena aegyptiaca","Remove"
"64","Andrena aegyptiaca","Andrena",NA,"aegyptiaca","cannabina","Spain","Islas Canarias","Fuerteventura, las Dunas","28.7049","-13.8437","uncert. < than 10km","1990","3","3","03/03/1990","20/03/1990","A. C., W. N. Ellis","T. Wood",NA,"1",NA,NA,NA,NA,"ZMA.INS.5088341","Compiled by T. Wood",NA,NA,"54_Wood_etal_19109","Andrena aegyptiaca","Remove","Andrena aegyptiaca","Remove"
"65","Andrena aegyptiaca","Andrena",NA,"aegyptiaca","cannabina","Spain","Islas Canarias","Fuerteventura, las Dunas","28.7049","-13.8437","uncert. < than 10km","1990","3","3","03/03/1990","20/03/1990","A. C., W. N. Ellis","T. Wood",NA,"1",NA,NA,NA,NA,"ZMA.INS.5088352","Compiled by T. Wood",NA,NA,"54_Wood_etal_19120","Andrena aegyptiaca","Remove","Andrena aegyptiaca","Remove"
"66","Andrena aegyptiaca","Andrena",NA,"aegyptiaca","cannabina","Spain","Islas Canarias","Fuerteventura, las Dunas","28.7049","-13.8437","uncert. < than 10km","1990","3","3","03/03/1990","20/03/1990","A. C., W. N. Ellis","T. Wood",NA,"1",NA,NA,NA,NA,"ZMA.INS.5088345","Compiled by T. Wood",NA,NA,"54_Wood_etal_19113","Andrena aegyptiaca","Remove","Andrena aegyptiaca","Remove"
"67","Andrena aegyptiaca","Andrena",NA,"aegyptiaca","cannabina","Spain","Islas Canarias","Gran Canaria, Maspalomas, Dunes","27.7415","15.5702","uncert. < than 10km","1973","4","14","14/04/1973","18/04/1973","Wolf","T. Wood","1",NA,NA,NA,NA,NA,"ZMA.INS.5088104","Compiled by T. Wood",NA,NA,"54_Wood_etal_9706","Andrena aegyptiaca","Remove","Andrena aegyptiaca","Remove"
"68","Andrena aegyptiaca","Andrena",NA,"aegyptiaca","cannabina","Spain","Islas Canarias","Fuerteventura, las Dunas","28.7049","-13.8437","uncert. < than 10km","1990","3","3","03/03/1990","20/03/1990","A. C., W. N. Ellis","T. Wood",NA,"1",NA,NA,NA,NA,"ZMA.INS.5088342","Compiled by T. Wood",NA,NA,"54_Wood_etal_19110","Andrena aegyptiaca","Remove","Andrena aegyptiaca","Remove"
"69","Andrena aegyptiaca","Andrena",NA,"aegyptiaca","cannabina","Spain","Islas Canarias","Gran Canaria, Isla de","27.97898","-15.55927","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Baez & Ortega 1978",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_33913","Andrena aegyptiaca","Remove","Andrena aegyptiaca","Remove"
"70","Andrena aegyptiaca","Andrena",NA,"aegyptiaca","cannabina","Spain","Islas Canarias","Fuerteventura, las Dunas","28.7049","-13.8437","uncert. < than 10km","1990","3","3","03/03/1990","20/03/1990","A. C., W. N. Ellis","T. Wood",NA,"1",NA,NA,NA,NA,"ZMA.INS.5088344","Compiled by T. Wood",NA,NA,"54_Wood_etal_19112","Andrena aegyptiaca","Remove","Andrena aegyptiaca","Remove"
