"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS","GPS","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","24-VII-2012","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","24-VII-2012","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","24-VII-2012","2.170 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Psithyrus","vestalis","Veleta","PN Sierra Nevada","Granada","España","25-VII-2012","3.300 m",NA,NA,"J. Freijanes","C. Ornosa","2013",1,NA,"UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"C. Ornosa","C. Ornosa",NA,1,NA,"UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"J. Freijanes","C. Ornosa","2014",NA,"1 obrera ","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada",NA,"25-VII-2012","3.300 m",NA,NA,"D. Romero","C. Ornosa","2014",NA,"1 obrera","CACLM"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","24-VII-2012","2.170 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Psithyrus","maxillosus","Veleta","PN Sierra Nevada","Granada","España","24-VII-2012","2.800 m",NA,NA,"C. Ornosa","C. Ornosa","2014",NA,"1",NA
"Bombus","Bombus","terrestris","Los Balbases",NA,"Burgos","España","17-IX-2010","1154",NA,NA,"C. Ornosa","C. Ornosa","2014",NA,"obrera","CACLM"
"Bombus","Bombus","terrestris","Los Balbases",NA,"Burgos","España","17-IX-2010","1154",NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 reina","UCME"
