"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Anthophora",NA,"Anthophora crassipes",NA,"Portugal","Leiria","Pousadas Vedras","39.955813"," -8.55093","<1km",2019,4,26,43581,43581,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"443","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,NA,NA,"Portugal","Leiria","Vérigo","39.949443"," -8.576887 ","<1km",2018,5,10,43230,43230,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Cistus sp. ?","257","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,NA,NA,"Portugal","Leiria","Vérigo","39.942014"," -8.582419","<1km",2019,4,20,43575,43575,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,NA,"430","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,NA,NA,"Portugal","Leiria","Vérigo","39.941709"," -8.58188","<1km",2019,4,26,43581,43581,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"439","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,"Anthophora fulvitarsis",NA,"Portugal","Leiria","Vérigo","39.941872","-8.581964","<1km",2018,4,13,43203,43203,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"221","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,NA,NA,"Portugal","Braga","Rendufe"," 41.625289","-8.418566","<1km",2019,3,11,43535,43536,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"206 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,"Anthophora plumipes",NA,"Portugal","Coimbra","Soure","40.044428","-8.599513","<1km",2019,5,20,43605,43606,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"607 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,"Anthophora plumipes",NA,"Portugal","Leiria","Vérigo","39.942404","-8.581706","<1km",2018,5,14,43234,43234,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,NA,"99","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,"Anthophora plumipes",NA,"Portugal","Aveiro","Parada","40.778776"," -8.289058","<1km",2019,3,17,43541,43541,"M. Castro","H. Gaspar ",NA,1,NA,0,NA,NA,"390","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,"Anthophora retusa ",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,5,5,43590,43591,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"710 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Apis",NA,"Apis mellifera",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,4,2,43557,43558,"H. Gaspar","H. Gaspar",4,NA,NA,0,NA,NA,"139,343,344,345 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Vérigo","39.942528"," -8.581513","<1km",2016,9,2,42615,42615,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"3","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Vérigo","39.941923"," -8.579081","<1km",2019,6,2,43618,43618,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,NA,"475","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
