Genus,species,subspecies,year,latitude,longitude
Bombus,lapidarius,,2018,43.01283,-5.95641
Bombus,lapidarius,,2018,43.01283,-5.95641
Bombus,lapidarius,,2018,43.01283,-5.95641
Bombus,lapidarius,,2017,43.01474,-5.95023
Bombus,lapidarius,,2017,43.01474,-5.95023
Bombus,lapidarius,,2017,43.01474,-5.95023
Bombus,lapidarius,,2017,43.01474,-5.95023
Bombus,lapidarius,,2017,43.01474,-5.95023
Bombus,lapidarius,,2017,43.01474,-5.95023
Bombus,lapidarius,vasco,2017,43.01474,-5.95023
Bombus,lapidarius,,2017,43.2554,-5.94831
Bombus,lapidarius,,2017,43.2554,-5.94831
Bombus,lapidarius,,2017,43.2554,-5.94831
Bombus,lapidarius,,2017,43.2554,-5.94831
Bombus,lapidarius,,2017,43.2554,-5.94831
Bombus,lapidarius,,2017,43.2554,-5.94831
Bombus,lapidarius,,2017,43.2554,-5.94831
Bombus,lapidarius,,2017,43.06984,-5.94066
Bombus,lapidarius,,2017,43.06984,-5.94066
Bombus,lapidarius,,2017,43.22956,-5.94028
Bombus,lapidarius,,2017,43.22956,-5.94028
Bombus,lapidarius,,2017,43.22956,-5.94028
Bombus,lapidarius,,2017,43.22956,-5.94028
Bombus,lapidarius,,2017,43.22956,-5.94028
Bombus,lapidarius,,2017,43.22956,-5.94028
Bombus,lapidarius,,2017,43.03908,-5.93616
Bombus,lapidarius,,2017,43.03908,-5.93616
Bombus,lapidarius,,2017,43.03908,-5.93616
Bombus,lapidarius,vasco,2017,43.03908,-5.93616
Bombus,lapidarius,,2017,43.03908,-5.93616
Bombus,lapidarius,,2017,43.23752,-5.93556
Bombus,lapidarius,,2017,43.23752,-5.93556
Bombus,lapidarius,,2017,43.23752,-5.93556
Bombus,lapidarius,,2017,43.23752,-5.93556
Bombus,lapidarius,,2017,43.23752,-5.93556
Bombus,lapidarius,,2017,43.23752,-5.93556
Bombus,lapidarius,,2017,43.25911,-5.93261
Bombus,lapidarius,,2017,43.25911,-5.93261
Bombus,lapidarius,,2017,43.25911,-5.93261
Bombus,lapidarius,,2017,43.25911,-5.93261
Bombus,lapidarius,,2017,43.25911,-5.93261
Bombus,lapidarius,,2017,43.25911,-5.93261
Bombus,lapidarius,,2017,43.25911,-5.93261
Bombus,lapidarius,,2017,43.25911,-5.93261
Bombus,lapidarius,,2017,43.0343,-5.92622
Bombus,lapidarius,,2017,43.0343,-5.92622
Bombus,lapidarius,,2017,43.0343,-5.92622
Bombus,lapidarius,,2017,43.0343,-5.92622
Bombus,lapidarius,,2017,43.0343,-5.92622
Bombus,lapidarius,vasco,2017,43.0343,-5.92622
Bombus,lapidarius,,2017,42.99301,-5.92504
Bombus,lapidarius,,2017,42.99301,-5.92504
Bombus,lapidarius,,2017,42.99301,-5.92504
Bombus,lapidarius,,2017,42.99301,-5.92504
Bombus,lapidarius,,2017,42.99301,-5.92504
Bombus,lapidarius,,2017,42.99301,-5.92504
Bombus,lapidarius,,2017,42.99301,-5.92504
Bombus,lapidarius,,2017,42.99301,-5.92504
Bombus,lapidarius,vasco,2017,42.99301,-5.92504
Bombus,lapidarius,,2017,43.60237,-5.91739
Bombus,lapidarius,,2017,43.60237,-5.91739
Bombus,lapidarius,,2017,43.60237,-5.91739
Bombus,lapidarius,,2017,43.60237,-5.91739
Bombus,lapidarius,,2017,43.01055,-5.91644
Bombus,lapidarius,,2017,43.01055,-5.91644
Bombus,lapidarius,,2017,43.01055,-5.91644
Bombus,lapidarius,,2017,43.01055,-5.91644
Bombus,lapidarius,,2017,43.01055,-5.91644
Bombus,lapidarius,,2017,43.01055,-5.91644
Bombus,lapidarius,,2017,43.01055,-5.91644
Bombus,lapidarius,,2017,43.01055,-5.91644
Bombus,lapidarius,,2018,43.00809,-5.90992
Bombus,lapidarius,,2018,43.00809,-5.90992
Bombus,lapidarius,,2018,43.00809,-5.90992
Bombus,lapidarius,,2018,43.00809,-5.90992
Bombus,lapidarius,,2018,43.00809,-5.90992
Bombus,lapidarius,,2018,43.00809,-5.90992
Bombus,lapidarius,,2017,43.13255,-5.90008
Bombus,lapidarius,,2017,43.13255,-5.90008
