Family;Genus;Species;Subspecies;Authority;Notes
Apidae;Habropoda;zonatula;NA;Smith, 1854;NA
Apidae;Melecta;aegyptiaca;NA;Radoszkowski, 1876;NA
Apidae;Melecta;albifrons;NA;(Forster, 1771);NA
Apidae;Melecta;duodecimmaculata;NA;(Rossi, 1790);NA
Apidae;Melecta;festiva;NA;Lieftinck, 1980;NA
Apidae;Melecta;gracilipes;NA;Lieftinck, 1980;NA
Apidae;Melecta;grandis;NA;Lepeletier, 1841;NA
Apidae;Melecta;guichardi;NA;Lieftinck, 1980;NA
Apidae;Melecta;italica;NA;Radoszkowski, 1876;NA
Apidae;Melecta;leucorhyncha;NA;Gribodo, 1893;NA
Apidae;Melecta;luctuosa;NA;(Scopoli, 1770);NA
Apidae;Melecta;tuberculata;NA;Lieftinck, 1980;NA
Apidae;Nomada;accentifera;NA;Pérez, 1895;NA
Apidae;Nomada;agrestis;NA;Fabricius, 1787;NA
Apidae;Nomada;alboguttata;NA;Herrich-Schäffer, 1839;NA
Apidae;Nomada;ariasi;NA;Dusmet, 1913;NA
Apidae;Nomada;armata;NA;Herrich-Schäffer, 1839;NA
Apidae;Nomada;barcelonensis;NA;Cockerell, 1917;NA
Apidae;Nomada;basalis;NA;Herrich-Schäffer, 1839;NA
Apidae;Nomada;beaumonti;NA;Schwarz, 1967;NA
Apidae;Nomada;bifasciata;NA;Olivier, 1811;N. lepeletieri Pérez, 1884 is a synonym, listed by Ortiz-Sanchez
Apidae;Nomada;bispinosa;NA;Mocsáry, 1883;NA
Apidae;Nomada;blepharipes;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;bluethgeni;NA;Stöckhert, 1943;NA
Apidae;Nomada;braunsiana;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;carnifex;NA;Mocsáry, 1883;NA
Apidae;Nomada;castellana;NA;Dusmet, 1913;NA
Apidae;Nomada;concolor;NA;Schmiedeknecht, 1882;NA
