Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries;
Trachusa;NA;interrupta;Presa Contreras, Hoces del Cabriel;Villargordo del Cabriel;Valencia;España;19-06-2011;NA;NA;680;30SXJ2877;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
Trachusa;NA;interrupta;Presa Contreras, Hoces del Cabriel;Villargordo del Cabriel;Valencia;España;19-06-2011;NA;NA;680;30SXJ2877;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
Stelis;NA;punctulatissima;Jarafuel;Jarafuel;Valencia;España;19-06-2011;NA;NA;615;30SXJ6634;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Anthidium;NA;florentinum;Jarafuel;Jarafuel;Valencia;España;19-06-2011;NA;NA;615;30SXJ6634;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
Anthidiellum;NA;strigatum;Las Conejeras, Sierra de las Nieves;Parauta;Málaga;España;2011-07-07;NA;NA;1060;30SUF1259;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Anthidiellum;NA;strigatum;Las Conejeras, Sierra de las Nieves;Parauta;Málaga;España;07-07-2011;NA;NA;1060;30SUF1259;J. Ortiz;C. Ornosa;2011;1;NA;Almería/UCME;NA;
Anthidium ;NA;florentinum;Parauta, Sierra de las Nieves;Parauta;Málaga;España;07-07-2011;NA;NA;810;30SUF0958;J. Ortiz;C. Ornosa;2011;NA;1;Almería ;NA;
Pseudoanthidium;NA;scapulare;Parauta-II, Sierra de las Nieves;Parauta;Málaga;España;07-07-2011;NA;NA;940;30SUF1059;J. Ortiz;C. Ornosa;2011;NA;1;Almería/UCME;NA;
Pseudoanthidium;NA;scapulare;Parauta-II, Sierra de las Nieves;Parauta;Málaga;España;07-07-2011;NA;NA;940;30SUF1059;J. Ortiz;C. Ornosa;2011;1; ;Almería/UCME;NA;
Pseudoanthidium;NA;scapulare;Las Covezuelas, Sierra de Grazalema;Villaluenga del Rosario;Cádiz;España;08-07-2011;NA;NA;870;30STF8865;J. Ortiz;C. Ornosa;2011;1;NA;Almería/UCME;NA;
Pseudoanthidium;NA;scapulare;Las Covezuelas, Sierra de Grazalema;Villaluenga del Rosario;Cádiz;España;08-07-2011;NA;NA;870;30STF8865;J. Ortiz;C. Ornosa;2011;1;NA;Almería/UCME;NA;
Icteranthidium;NA;grohmanii;El Cintillo, Sierra de Grazalema;Benaocaz;Cádiz;España;08-07-2011;NA;NA;740;30STF8362;J. Ortiz;C. Ornosa;2011;NA;1;Almería/UCME;NA;
Pseudoanthidium;NA;scapulare;El Cintillo, Sierra de Grazalema;Benaocaz;Cádiz;España;08-07-2011;NA;NA;740;30STF8362;J. Ortiz;C. Ornosa;2011;NA;1;Almería/UCME;NA;
Pseudoanthidium;NA;scapulare;El Cintillo, Sierra de Grazalema;Benaocaz;Cádiz;España;08-07-2011;NA;NA;740;30STF8362;J. Ortiz;C. Ornosa;2011;NA;1;Almería/UCME;NA;
Pseudoanthidium;NA;scapulare;Río Tavizna, Sierra de Grazalema;Benaocaz;Cádiz;España;08-07-2011;NA;NA;300;30STF7968;J. Ortiz;C. Ornosa;2011;NA;1;Almería/UCME;NA;
Pseudoanthidium;NA;scapulare;Río Tavizna, Sierra de Grazalema;Benaocaz;Cádiz;España;08-07-2011;NA;NA;300;30STF7968;J. Ortiz;C. Ornosa;2011;1; ;Almería/UCME;NA;
Pseudoanthidium;NA;scapulare;Río Tavizna, Sierra de Grazalema;Benaocaz;Cádiz;España;08-07-2011;NA;NA;300;30STF7968;J. Ortiz;C. Ornosa;2011;NA;1;Almería/UCME;NA;
